glottocode	name	latitude	longitude	iso
3adt1234	3Ad-Tekles			
aala1237	Aalawa			
aant1238	Aantantara			
aari1238	Aari-Gayil			aiz
aari1239	Aari	5.95034	36.5721	aiw
aari1240	Aariya			aay
aasa1238	Aasax	-4.00679	36.8648	aas
aasd1234	Aasdring			
aata1238	Aatasaara			
abaa1238	Rngaba			
abab1239	Ababda			
abab1240	Ababuan			
abad1240	Abadzex			
abad1241	Abadi	-9.03389	146.992	kbt
abad1242	Abadei			
abad1243	Abadani			
abag1245	Abaga	-6.12028	145.665	abg
abai1239	Abai			
abai1240	Abai Sungai	5.55394	118.306	abf
abai1241	Abai Tubu-Abai Sembuak	3.524226	116.162455	
abaj1234	Abajeño Mexican Spanish			
abak1242	Abak			
abak1243	Abaka			
abal1238	Abaletti			
abam1239	Abam			
aban1242	Abanyom	6.30619	8.63055	abm
aban1243	Abancay			
aban1245	Abanyom-Nkem-Nkum			
abar1238	Mungbam	6.5805	10.2267	mij
abar1239	Abar			
abau1245	Abau	-3.97222	141.324	aau
abay1238	Abayongo			
abaz1241	Abaza	44.25	42.0	abq
abbe1238	Abbey-Ve			
abbr1238	Abbruzzesi			
abch1234	Abchuya'i			
abda1238	'Abd Al-Kuri	12.1959	52.2282	
abed1238	Abedju-Azaki			
abee1242	Abé	5.59682	-4.38497	aba
abee1243	Abe (Anyin)			
abel1234	Abellen-Botolan			
aben1247	Abeng			
aben1248	A'beng			
aben1249	Abenlen Ayta	15.4131	120.2	abp
aben1250	Abenaki			
abgu1238	Abgue			
abid1235	Abidji	5.65656	-4.58421	abi
abie1238	Abiem			
abig1238	Abigar			
abil1238	Abiliang			
abin1242	Abini			
abin1243	Abinomn	-2.92281	138.891	bsa
abip1241	Abipon	-29.0	-61.0	axb
abis1238	Aewa	-1.284096	-75.084405	ash
abka1238	Abkar			
abkh1242	Abkhaz-Adyge			
abkh1243	Abkhaz-Abaza			
abkh1244	Abkhaz	43.056218	41.159115	abk
able1237	Ableg-Salegseg			
abob1234	Abo-Barombi			
abom1238	Abom	-8.42448	142.842	aob
abon1238	Abon	6.90621	10.8769	abo
aboo1241	Abo (Bokyi)			
aboo1242	Abo			
abou1238	Abou Charib			
abra1237	Abra-De-Ilog			
abro1238	Abron	7.72094	-2.50289	abr
abru1239	Abruzzese-Calabrian-Molisean Romani			
absh1238	Absheron			
abua1243	Abua-Odual			
abua1244	Abua	4.83057	6.61492	abn
abua1245	Abu' Arapesh	-3.461612	142.917031	aah
abui1241	Abui	-8.31058	124.588	abz
abui1242	Abuic			
abuj1237	Abujmaria			
abul1238	Abuldugu			
abun1252	Abun	-0.57073	132.416	kgr
abun1253	Abun Je			
abun1254	Abun Tat			
abun1255	Abun Ji			
abur1243	Abure	5.21534	-3.64123	abu
abur1244	Abureni	4.62301	6.50634	mgj
abus1238	Abu Sinun			
abuu1241	Abu	-4.24027	144.474	ado
abuz1234	Abuzaydabadi			
abya1234	Abyane'i			
abzh1238	Abzhui			
acad1238	Acadian			
acat1239	Acatepec Me'phaa	17.1034	-99.0602	tpx
acat1240	Acatepec			
acch1238	Acchami			
acha1249	Longchuan Achang	24.3479	97.7438	acn
acha1250	Achagua	4.38649	-72.2005	aca
acha1252	Achangic			
ache1244	Ache	24.152	102.446	yif
ache1245	Acheron	10.8827	30.3187	acz
ache1246	Aché	-25.5865	-56.4697	guq
ache1247	Acheron-Tocho			
achi1247	Achik			
achi1255	A'chick			
achi1256	Achi	15.073	-90.3513	acr
achi1257	Acehnese	3.90757	96.6032	ace
achi1258	Achi', Cubulco			acc
acht1238	Achterhoeks	52.021	6.47521	act
acht1239	Achterveld			
achu1247	Achumawi	41.0979	-121.191	acv
achu1248	Achuar-Shiwiar	-2.82646	-77.2641	acu
achu1249	Achuar			
acii1238	Aci			
acod1234	Acodi			
acol1236	Acoli	3.57738	32.5147	ach
acom1246	Acoma Keres			
acro1239	Acroá	-12.594	-40.21445	acs
acro1240	Acrolectal Fiji English			
acro1241	Acrolectal Colloquial Jakarta Indonesian			
adaa1238	Ada			
adab1235	Adabe	-8.22674	125.576	adb
adae1234	Adaeseño Spanish			
adai1235	Adai	31.6314	-92.0059	xad
adam1238	Adamorobe Sign Language	5.834	-0.151	ads
adam1253	Adamawa Fulfulde	8.140326	13.077338	fub
adam1254	Adamawa Fali			
adam1257	Adamawa Bua			
adam1260	Adamawa-Bagirmi Fulfulde			
adan1247	Adangme	5.9437	0.13243	ada
adan1248	Adangbe	6.50546	0.727155	adq
adan1249	Adan			
adan1250	Adang (Lundayeh)			
adan1251	Adang	-8.18958	124.448	adn
adan1252	West Alor			
adap1234	Adap	27.141	90.3369	adp
adar1242	Adarawa			
adas1235	Adasen	17.8187	120.905	tiu
addi1234	Addis Ababa Ethiopian Sign Language			
addi1235	Addis Ababa			
adel1244	Adele	8.16975	0.619185	ade
aden1241	Adeni			
aden1242	'Aden			
ader1239	Aderawa			
adew1237	Adewada			
adga1237	Adgawan			
adha1237	Adham			
adha1238	Adhari	40.05	48.06	
adho1241	Adhola-Alur-Luo			
adho1242	Adhola-Luo			
adho1243	Adhola	0.73235	34.0341	adh
adib1240	Adibom			
adid1237	Adi Dravida			
adie1238	Adie			
adih1238	Adihup			
adij1237	Adijaya			
adim1238	Adim			
adio1239	Adioukrou	5.38228	-4.52522	adj
adiv1238	Adivasi Wagdi			
adiv1239	Kotia-Adivasi Oriya-Desiya	18.1046	82.8487	ort
adiw1235	Adiwasi Garasia	24.0712	73.1426	gas
adiy1237	Adiya			
adja1238	Adjabdurah			
adju1239	Adjumani			
adku1239	Adkuri			
admi1239	Admiralty Islands			
adny1235	Adnyamathanha	-30.1451	138.671	adt
adom1238	Adoma			
adon1237	Adonara	-8.32027	123.159	adr
adoo1237	Ado			
adoy1238	Adoyo			
adug1238	Aduge	7.64567	6.13085	adu
adun1238	Adun			
adur1234	Adurgari	33.79	69.32	
aduu1238	Adu			
adyg1241	West Circassian	44.0	39.33	ady
adze1240	Adzera	-6.39394	146.294	adz
adze1241	Adzera (Retired)			azr
adzh1238	Adzhar			
aegi1237	Aegina			
aeka1244	Aeka	-8.855095	147.99477	aez
aeky1238	Aekyom	-5.88478	141.532	awi
aeol1234	Aeolic			
aequ1239	Aequian			
aerr1238	Aer	25.254	69.029	aeq
aewa1238	Aewa (Western Province)			
afaa1238	Afa			
afad1236	Afade	12.0551	14.6343	aal
afar1241	Afar	12.2281	41.8083	aar
afas1238	Af-Ashraaf			
afen1234	Afenmai-Bendel			
affa1240	Affade			
affi1239	Affiniam			
afgh1239	Afghan Sign Language	34.434167	70.447778	afg
afgh1240	Afghanistan Gorbat			
afgh1241	Afghanistan Balochi			
afhe1238	Af-Helledi			
afik1238	Afikpo			
afit1238	Afitti	12.446	30.7611	aft
afor1239	Afore			
afri1271	Afridi			
afri1272	Afrike			
afri1273	Afrikaansic			
afri1274	Afrikaans	-22.0	30.0	afr
afri1275	Afrihili			afh
afri1276	African American Vernacular English			
afro1254	Afro-Seminole Creole	31.7843	-99.2934	afs
afro1255	Afro-Asiatic			
