Classe	Parametro
Nominal Categories	"GRAN.PARAM:Is there a gender distinction in independent 3rd person pronouns?"
Lexicon	"GRAN.PARAM:Are there three or more distance contrasts in demonstratives?"
Lexicon	"GRAN.PARAM:Do demonstratives show an elevation distinction?"
Lexicon	"GRAN.PARAM:Do demonstratives show a visible-nonvisible distinction?"
Nominal Syntax	"GRAN.PARAM:Are there demonstrative classifiers?"
Nominal Categories	"GRAN.PARAM:Is there productive overt morphological singular marking on nouns?"
Nominal Categories	"GRAN.PARAM:Is there productive morphological dual marking on nouns?"
Nominal Categories	"GRAN.PARAM:Is there productive morphological plural marking on nouns?"
Nominal Syntax	"GRAN.PARAM:Are there numeral classifiers?"
Nominal Syntax	"GRAN.PARAM:Is the adnominal possessive construction different for alienable and inalienable nouns?"
Word Order	"GRAN.PARAM:What is the pragmatically unmarked order of adnominal possessor noun and possessed noun?"
Morphology	"GRAN.PARAM:Do core adjectives (defined semantically as property concepts; value, shape, age, dimension) used attributively require the same morphological treatment as verbs?"
Morphology	"GRAN.PARAM:Are there morphological cases for non-pronominal core arguments (i.e. S/A/P)?"
Morphology	"GRAN.PARAM:Are there morphological cases for pronominal core arguments (i.e. S/A/P)?"
Morphology	"GRAN.PARAM:Are there morphological cases for oblique non-pronominal NPs (i.e. not S/A/P)?"
Morphology	"GRAN.PARAM:Are there morphological cases for independent oblique personal pronominal arguments (i.e. not S/A/P)?"
Nominal Syntax	"GRAN.PARAM:Are there prepositions?"
Nominal Syntax	"GRAN.PARAM:Are there postpositions?"
Verbal Categories	"GRAN.PARAM:Is there overt morphological marking on the verb dedicated to past tense?"
Verbal Categories	"GRAN.PARAM:Is there overt morphological marking on the verb dedicated to future tense?"
Simple Clauses	"GRAN.PARAM:Are variations in marking strategies of core participants based on TAM distinctions?"
Simple Clauses	"GRAN.PARAM:Are variations in marking strategies of core participants based on verb classes?"
Simple Clauses	"GRAN.PARAM:Are variations in marking strategies of core participants based on person distinctions?"
Simple Clauses	"GRAN.PARAM:Can standard negation be marked by an affix, clitic or modification of the verb?"
Verbal Categories	"GRAN.PARAM:Are there verbal affixes or clitics that turn intransitive verbs into transitive ones?"
Phonology	"GRAN.PARAM:Is there a phonologically bound reflexive marker on the verb?"
Phonology	"GRAN.PARAM:Is there a phonologically bound reciprocal marker on the verb?"
Complex Sentences	"GRAN.PARAM:Are there serial verb constructions?"
Verbal Categories	"GRAN.PARAM:Is incorporation of nouns into verbs a productive intransitivizing process?"
Word Order	"GRAN.PARAM:What is the pragmatically unmarked order of S and V in intransitive clauses?"
Simple Clauses	"GRAN.PARAM:Can standard negation be marked clause-initially?"
Simple Clauses	"GRAN.PARAM:Is there a difference between imperative (prohibitive) and declarative negation constructions?"
Morphology	"GRAN.PARAM:Is there productive morphological trial marking on nouns?"
Morphology	"GRAN.PARAM:Is there productive morphological paucal marking on nouns?"
Lexicon	"GRAN.PARAM:Is there a logophoric pronoun?"
Word Order	"GRAN.PARAM:What is the order of adnominal property word and noun?"
Nominal Categories	"GRAN.PARAM:Is there a male/female distinction in 2nd person independent pronouns?"
Nominal Categories	"GRAN.PARAM:Is there a male/female distinction in 1st person independent pronouns?"
Word Order	"GRAN.PARAM:What is the order of the adnominal collective universal quantifier (all) and the noun?"
Word Order	"GRAN.PARAM:Can polar interrogation be marked by intonation only?"
Word Order	"GRAN.PARAM:Can polar interrogation be indicated by a special word order?"
Word Order	"GRAN.PARAM:Is there a clause-initial polar interrogative particle?"
Word Order	"GRAN.PARAM:Is there a clause-final polar interrogative particle?"
Word Order	"GRAN.PARAM:Is there a polar interrogative particle that most commonly occurs neither clause-initially nor clause-finally?"
Simple Clauses	"GRAN.PARAM:Is there a bound comparative degree marker on the property word in a comparative construction?"
Simple Clauses	"GRAN.PARAM:Is there a non-bound comparative degree marker modifying the property word in a comparative construction?"
Simple Clauses	"GRAN.PARAM:Can polar interrogation be marked by a question particle and verbal morphology?"
Simple Clauses	"GRAN.PARAM:Can polar interrogation be indicated by overt verbal morphology only?"
Simple Clauses	"GRAN.PARAM:Can polar interrogation be marked by tone?"
Simple Clauses	"GRAN.PARAM:Can polar interrogation be indicated by a V-not-V construction?"
Simple Clauses	"GRAN.PARAM:Can standard negation be marked by an inflecting word (auxiliary verb)?"
Simple Clauses	"GRAN.PARAM:Can standard negation be marked by a non-inflecting word (auxiliary particle)?"
Simple Clauses	"GRAN.PARAM:Is there a phonologically independent reflexive pronoun?"
Verbal Categories	"GRAN.PARAM:Are there multiple past or multiple future tenses, distinguishing distance from Time of Reference?"
Nominal Categories	"GRAN.PARAM:Is singular number regularly marked in the noun phrase by a dedicated phonologically free element?"
Nominal Categories	"GRAN.PARAM:Is dual number regularly marked in the noun phrase by a dedicated phonologically free element?"
Nominal Categories	"GRAN.PARAM:Is plural number regularly marked in the noun phrase by a dedicated phonologically free element?"
Nominal Categories	"GRAN.PARAM:Is trial number regularly marked in the noun phrase by a dedicated phonologically free element?"
Nominal Categories	"GRAN.PARAM:Is paucal number regularly marked in the noun phrase by a dedicated phonologically free element?"
Simple Clauses	"GRAN.PARAM:Do (nominal) content interrogatives normally or frequently occur in situ?"
Lexicon	"GRAN.PARAM:Is there a decimal numeral system?"
Pragmatics	"GRAN.PARAM:Is there a politeness distinction in 2nd person forms?"
Simple Clauses	"GRAN.PARAM:Can the S or A argument be omitted from a pragmatically unmarked clause when the referent is inferrable from context (pro-drop or null anaphora)?"
Nominal Syntax	"GRAN.PARAM:Are there definite or specific articles?"
Nominal Syntax	"GRAN.PARAM:Do indefinite nominals commonly have indefinite articles?"
Nominal Syntax	"GRAN.PARAM:Are there prenominal articles?"
Nominal Syntax	"GRAN.PARAM:Are there postnominal articles?"
Nominal Categories	"GRAN.PARAM:Is there an associative plural marker for nouns?"
Morphology	"GRAN.PARAM:Is there a productive morphological pattern for deriving an action/state noun from a verb?"
Morphology	"GRAN.PARAM:Is there a productive morphological pattern for deriving an agent noun from a verb?"
Lexicon	"GRAN.PARAM:Do core adjectives (defined semantically as property concepts such as value, shape, age, dimension) act like verbs in predicative position?"
Verbal Categories	"GRAN.PARAM:Is there overt morphological marking of present tense on verbs?"
Morphology	"GRAN.PARAM:Do verbs classify the shape, size or consistency of absolutive arguments by means of incorporated nouns, verbal affixes or suppletive verb stems?"
Simple Clauses	"GRAN.PARAM:Is there a copula for predicate nominals?"
Verbal Categories	"GRAN.PARAM:Can mood be marked by an inflecting word (auxiliary verb)?"
Verbal Categories	"GRAN.PARAM:Can aspect be marked by an inflecting word (auxiliary verb)?"
Verbal Categories	"GRAN.PARAM:Can tense be marked by an inflecting word (auxiliary verb)?"
Simple Clauses	"GRAN.PARAM:Are there verb-adjunct (aka light-verb) constructions?"
Word Order	"GRAN.PARAM:Is the order of constituents the same in main and subordinate clauses?"
Word Order	"GRAN.PARAM:Is the order of core argument (i.e. S/A/P) constituents fixed?"
Simple Clauses	"GRAN.PARAM:Can standard negation be marked clause-finally?"
Morphology	"GRAN.PARAM:Is there a morphological passive marked on the lexical verb?"
Morphology	"GRAN.PARAM:Is there a morphological antipassive marked on the lexical verb?"
Morphology	"GRAN.PARAM:Is there a morphologically marked inverse on verbs?"
Complex Sentences	"GRAN.PARAM:Is there clause chaining?"
Complex Sentences	"GRAN.PARAM:Is there an overt verb marker dedicated to signalling coreference or noncoreference between the subject of one clause and an argument of an adjacent clause (switch reference)?"
Complex Sentences	"GRAN.PARAM:Is there a morphologically marked distinction between simultaneous and sequential clauses?"
Nominal Categories	"GRAN.PARAM:Is there an inclusory construction?"
Simple Clauses	"GRAN.PARAM:Is there a phonologically free passive marker (particle or auxiliary)?"
Simple Clauses	"GRAN.PARAM:Is there a phonologically free antipassive marker (particle or auxiliary)?"
Simple Clauses	"GRAN.PARAM:Can the agent be expressed overtly in a passive clause?"
Word Order	"GRAN.PARAM:Can the relative clause follow the noun?"
Word Order	"GRAN.PARAM:Can the relative clause precede the noun?"
Complex Sentences	"GRAN.PARAM:Are there internally-headed relative clauses?"
Complex Sentences	"GRAN.PARAM:Are there correlative relative clauses?"
Complex Sentences	"GRAN.PARAM:Are there non-adjacent relative clauses?"
Morphology	"GRAN.PARAM:Are nouns reduplicated?"
Simple Clauses	"GRAN.PARAM:Can predicative possession be expressed with a transitive habeo verb?"
Morphology	"GRAN.PARAM:Is there a productive morphological pattern for deriving an object noun from a verb?"
