yort1237,Primarily oral
stan1293,Written
nucl1706,Primarily oral
piem1238,Primarily oral
dutc1256,Written
papi1253,Written
swed1254,Written
finn1310,Primarily oral
budu1248,Primarily oral
khin1240,Primarily oral
kryt1240,Primarily oral
tata1255,Written
erzy1239,Primarily oral
lish1246,Primarily oral
kara1465,Primarily oral
lakk1252,Written
lezg1247,Written
udii1243,Written
avar1256,Written
musl1236,Written
taly1247,Written
taba1259,Written
darg1241,Written
aghu1253,Written
rutu1240,Written
tsak1249,Written
bosn1245,Written
amer1248,Primarily oral
chit1275,Written
assa1263,Written
hind1269,Written
sant1410,Written
garo1247,Written
khas1269,Written
kokb1239,Written
marm1234,Written
bawm1236,Written
haka1240,Primarily oral
khum1248,Written
lush1249,Primarily oral
mani1292,Written
beng1280,Written
mund1320,Written
guja1252,Written
indi1237,Primarily oral
panj1256,Written
asho1236,Primarily oral
nucl1310,Written
vlaa1235,Primarily oral
luxe1241,Written
lyel1241,Primarily oral
nort2784,Primarily oral
west2466,Primarily oral
winy1241,Primarily oral
haus1257,Written
west2454,Written
gour1243,Written
cerm1238,Written
sout2797,Primarily oral
lobi1245,Primarily oral
maas1239,Written
moss1236,Written
biss1248,Primarily oral
ceba1235,Primarily oral
dyul1238,Written
siam1242,Primarily oral
supy1237,Written
fare1241,Written
kase1253,Written
sout2789,Written
jams1239,Primarily oral
koro1298,Written
nane1238,don't know
tama1365,Primarily oral
zarm1239,Written
krym1236,Primarily oral
bulg1262,Written
gaga1249,Primarily oral
roma1327,Written
crim1257,Written
russ1255,Primarily oral
baha1259,Primarily oral
kiny1244,Written
rund1242,Written
swah1253,Written
nate1242,Written
waam1244,Written
weme1239,Primarily oral
anuf1239,Written
kabi1261,Written
temm1241,Written
baat1238,Primarily oral
boko1266,Written
gunn1250,Written
yoru1245,Written
ajab1235,Written
fonn1241,Written
guad1242,Primarily oral
iban1264,Written
kela1258,Written
lund1271,Written
cent2101,Primarily oral
stan1306,Written
arao1248,Primarily oral
baur1253,Written
cavi1250,Primarily oral
cayu1262,Primarily oral
chac1251,Primarily oral
chip1262,Primarily oral
igna1246,Primarily oral
iton1250,Primarily oral
leco1242,Primarily oral
mose1249,Primarily oral
movi1243,Primarily oral
puqu1242,Primarily oral
siri1273,Primarily oral
taca1256,Primarily oral
uruu1244,Primarily oral
yura1255,Primarily oral
chiq1248,Primarily oral
yami1256,Primarily oral
esee1248,Primarily oral
ayor1240,Primarily oral
aika1237,Primarily oral
apal1257,Written
apin1244,Primarily oral
apur1254,Primarily oral
baka1277,Primarily oral
boro1282,Primarily oral
braz1236,Primarily oral
daww1239,Primarily oral
deni1241,Primarily oral
djeo1235,Primarily oral
fuln1247,Primarily oral
gavi1246,Primarily oral
guaj1255,Primarily oral
guat1253,Primarily oral
hixk1239,Primarily oral
iran1263,Primarily oral
juma1249,Primarily oral
juru1256,Primarily oral
kadi1248,Primarily oral
kain1272,Primarily oral
kama1373,Written
kana1291,Primarily oral
kano1245,Primarily oral
kara1500,Primarily oral
kari1255,Primarily oral
kari1311,Primarily oral
karo1305,Primarily oral
kaya1329,Primarily oral
kaya1330,Written
krah1246,Primarily oral
kren1239,Primarily oral
kuik1246,Primarily oral
kwaz1243,Primarily oral
maku1246,don't know
mati1255,Primarily oral
maxa1247,Written
mund1330,Primarily oral
nade1244,Written
pana1307,Primarily oral
pare1272,Primarily oral
paum1247,Primarily oral
pira1253,Primarily oral
rikb1245,Primarily oral
saki1248,Primarily oral
sout2994,Written
tere1279,Primarily oral
toca1235,Primarily oral
trum1247,Primarily oral
tupi1273,Primarily oral
urub1243,Primarily oral
urub1250,Primarily oral
wari1268,Primarily oral
waur1244,Primarily oral
xava1240,Primarily oral
xere1240,Primarily oral
xiri1243,Primarily oral
xokl1240,Primarily oral
bara1380,Primarily oral
cara1272,Primarily oral
desa1247,Primarily oral
guan1269,Primarily oral
hupd1244,Primarily oral
macu1260,Primarily oral
pira1254,Primarily oral
siri1274,Primarily oral
tari1256,Primarily oral
tuca1252,Primarily oral
tuyu1244,Primarily oral
waim1255,Written
yuru1263,Primarily oral
bora1263,Primarily oral
coca1259,Primarily oral
nupo1240,Primarily oral
ticu1245,Primarily oral
yucu1253,Written
bani1255,Primarily oral
cube1242,Written
curr1243,Primarily oral
guar1293,Primarily oral
guia1246,Primarily oral
pali1279,Primarily oral
waya1270,Primarily oral
gali1262,Written
waya1269,Primarily oral
waiw1244,Primarily oral
wapi1253,Primarily oral
akaw1239,Primarily oral
macu1259,Primarily oral
pemo1248,Primarily oral
amah1246,Primarily oral
asha1243,Primarily oral
cash1254,Primarily oral
culi1244,Written
mats1244,Primarily oral
omag1248,Primarily oral
shar1245,Written
guan1268,Primarily oral
trio1238,Primarily oral
bare1276,Primarily oral
maqu1238,Primarily oral
nina1238,Primarily oral
sanu1240,Primarily oral
yano1262,Primarily oral
bori1243,Written
tsha1245,Written
than1259,Written
tibe1272,Written
guru1261,Written
lepc1244,Written
anii1246,Primarily oral
bemb1257,Written
holo1240,Primarily oral
zulu1248,Written
xhos1239,Written
afri1274,Written
huaa1248,Primarily oral
naro1249,Primarily oral
yeyi1239,Primarily oral
nama1264,Written
tswa1253,Written
lozi1239,Written
subi1246,Primarily oral
pedi1238,Written
shon1251,Written
kala1384,Primarily oral
vend1245,Written
nort2795,Written
shua1254,Primarily oral
russ1263,Written
poli1260,Written
latv1249,don't know
ukra1253,Written
lith1251,Written
bela1254,Written
mopa1243,Primarily oral
gari1256,Written
yuca1254,Primarily oral
kekc1242,Written
algo1255,Primarily oral
atik1240,Written
bell1243,Primarily oral
beot1247,don't know
carr1249,Primarily oral
chip1261,Primarily oral
como1259,Primarily oral
diti1235,Primarily oral
east2534,Primarily oral
east2542,Primarily oral
gitx1241,Primarily oral
haid1248,don't know
hais1244,Primarily oral
heil1246,Primarily oral
kwak1269,Primarily oral
lill1248,Primarily oral
mont1268,Written
nask1242,Primarily oral
nisg1240,Primarily oral
nort2941,Primarily oral
nuuc1236,Primarily oral
queb1245,Primarily oral
sars1236,Primarily oral
seve1240,Primarily oral
shus1248,Primarily oral
slav1253,don't know
sout2959,Primarily oral
squa1248,Primarily oral
ston1242,Primarily oral
swam1239,Primarily oral
thom1243,Primarily oral
cayu1261,Primarily oral
chip1241,Primarily oral
dako1258,Primarily oral
gwic1235,Written
halk1245,Primarily oral
kute1249,Primarily oral
lako1247,Primarily oral
male1292,Primarily oral
mich1243,Primarily oral
mikm1235,Written
moha1258,Primarily oral
muns1251,Primarily oral
nort2938,Written
nort2943,Primarily oral
nucl1649,Written
okan1243,Primarily oral
onei1249,Primarily oral
onon1246,Primarily oral
plai1235,Primarily oral
plai1258,Primarily oral
pota1247,Primarily oral
sene1264,Primarily oral
siks1238,Primarily oral
stra1244,Primarily oral
tlin1245,Written
tusc1257,Primarily oral
west2630,Primarily oral
bara1361,don't know
bera1259,Primarily oral
bila1255,don't know
boli1255,Primarily oral
budu1250,Primarily oral
